user_id,target_label
U_1000129,Low_Engagement
U_1000342,High_Engagement
U_100066,High_Engagement
U_100089,Low_Engagement
U_100090,High_Engagement
U_1000902,Low_Engagement
U_100092,Low_Engagement
U_100096,Low_Engagement
U_100140,Low_Engagement
U_1001528,Low_Engagement
U_1001553,High_Engagement
U_100156,Low_Engagement
U_1001872,Low_Engagement
U_1001916,High_Engagement
U_100195,Low_Engagement
U_1001999,Low_Engagement
U_100203,High_Engagement
U_1002253,Low_Engagement
U_1002389,High_Engagement
U_100241,Low_Engagement
U_1002476,High_Engagement
U_1002736,High_Engagement
U_100281,High_Engagement
U_1002843,High_Engagement
U_1002858,Low_Engagement
U_100294,High_Engagement
U_100298,Low_Engagement
U_100306,High_Engagement
U_10030854,High_Engagement
U_10031670,High_Engagement
U_10031735,Low_Engagement
U_10031887,Low_Engagement
U_10032036,Low_Engagement
U_10032068,Low_Engagement
U_10032265,Low_Engagement
U_10032601,Low_Engagement
U_10032849,Low_Engagement
U_10033070,High_Engagement
U_10033495,Low_Engagement
U_10033817,High_Engagement
U_10033829,High_Engagement
U_10033948,High_Engagement
U_10034055,Low_Engagement
U_100341,Low_Engagement
U_10034299,High_Engagement
U_10035076,Low_Engagement
U_10035262,Low_Engagement
U_10035650,High_Engagement
U_10035815,Low_Engagement
U_10035817,Low_Engagement
U_10036035,Low_Engagement
U_1003625,High_Engagement
U_10036250,Low_Engagement
U_10036332,High_Engagement
U_10036378,High_Engagement
U_10036488,Low_Engagement
U_10036806,High_Engagement
U_10036924,High_Engagement
U_100378,High_Engagement
U_1003837,High_Engagement
U_1004122,Low_Engagement
U_1004259,Low_Engagement
U_1004404,Low_Engagement
U_1004421,Low_Engagement
U_1004755,High_Engagement
U_100485,Low_Engagement
U_10049341,Low_Engagement
U_10053,Low_Engagement
U_1005448,Low_Engagement
U_10056951,High_Engagement
U_10057608,High_Engagement
U_1005785,Low_Engagement
U_10057879,Low_Engagement
U_10057880,Low_Engagement
U_10057926,Low_Engagement
U_10058172,Low_Engagement
U_10058330,High_Engagement
U_10058737,High_Engagement
U_1005890,High_Engagement
U_10059042,High_Engagement
U_1005956,High_Engagement
U_10059758,Low_Engagement
U_10059977,High_Engagement
U_10060061,Low_Engagement
U_10060130,High_Engagement
U_10060401,High_Engagement
U_10060490,High_Engagement
U_10060652,High_Engagement
U_10060973,High_Engagement
U_10062271,High_Engagement
U_10062292,Low_Engagement
U_10062435,Low_Engagement
U_10063890,Low_Engagement
U_1006407,Low_Engagement
U_10064145,High_Engagement
U_10064340,High_Engagement
U_1006448,Low_Engagement
U_1006483,Low_Engagement
U_10065575,Low_Engagement
U_10065638,Low_Engagement
U_1006588,Low_Engagement
U_10067058,Low_Engagement
U_1006708,Low_Engagement
U_10068739,High_Engagement
U_1006875,Low_Engagement
U_10068846,High_Engagement
U_10069021,High_Engagement
U_10069049,Low_Engagement
U_100691,Low_Engagement
U_10070409,Low_Engagement
U_10070473,High_Engagement
U_10070743,Low_Engagement
U_10070877,Low_Engagement
U_10071340,Low_Engagement
U_10071599,High_Engagement
U_10071639,Low_Engagement
U_10071983,Low_Engagement
U_10072026,High_Engagement
U_10072055,High_Engagement
U_10072134,Low_Engagement
U_10072542,High_Engagement
U_10073209,High_Engagement
U_10073375,High_Engagement
U_1007443,Low_Engagement
U_10074618,High_Engagement
U_10074769,High_Engagement
U_1007485,Low_Engagement
U_10075048,High_Engagement
U_10078546,Low_Engagement
U_1008000,High_Engagement
U_100829,Low_Engagement
U_1008369,Low_Engagement
U_1008586,Low_Engagement
U_100880,Low_Engagement
U_100936,Low_Engagement
U_1009420,High_Engagement
U_10095556,High_Engagement
U_10095559,High_Engagement
U_10095698,Low_Engagement
U_10095841,High_Engagement
U_10095863,Low_Engagement
U_10095920,Low_Engagement
U_1009625,Low_Engagement
U_10096496,Low_Engagement
U_10096618,High_Engagement
U_10096796,Low_Engagement
U_1009711,High_Engagement
U_10097770,Low_Engagement
U_10097862,Low_Engagement
U_10098469,High_Engagement
U_10098595,Low_Engagement
U_10098636,High_Engagement
U_10098708,High_Engagement
U_10099295,Low_Engagement
U_10099588,High_Engagement
U_10099604,High_Engagement
U_10099606,High_Engagement
U_10099632,Low_Engagement
U_10099665,High_Engagement
U_10099672,High_Engagement
U_10099674,Low_Engagement
U_10099675,Low_Engagement
U_10099706,High_Engagement
U_10099712,Low_Engagement
U_10099724,Low_Engagement
U_10099726,Low_Engagement
U_10099779,Low_Engagement
U_10099786,Low_Engagement
U_10099791,Low_Engagement
U_10099793,Low_Engagement
U_10099796,Low_Engagement
U_10099804,Low_Engagement
U_10099810,Low_Engagement
U_10099814,High_Engagement
U_10099820,High_Engagement
U_10099821,Low_Engagement
U_10099824,High_Engagement
U_10100083,High_Engagement
U_10100303,High_Engagement
U_10100358,Low_Engagement
U_10100642,High_Engagement
U_10100646,High_Engagement
U_10100756,Low_Engagement
U_10101082,Low_Engagement
U_10101084,High_Engagement
U_10101122,Low_Engagement
U_10101150,High_Engagement
U_10101750,Low_Engagement
U_10102698,High_Engagement
U_10102716,High_Engagement
U_10102747,Low_Engagement
U_10102751,Low_Engagement
U_10102852,Low_Engagement
U_10102878,Low_Engagement
U_1010470,Low_Engagement
U_1010583,Low_Engagement
U_101079,High_Engagement
U_1011696,Low_Engagement
U_1011714,High_Engagement
U_10118308,Low_Engagement
U_10118364,High_Engagement
U_10118494,Low_Engagement
U_10118820,Low_Engagement
U_10119008,Low_Engagement
U_10119662,Low_Engagement
U_10119789,High_Engagement
U_10119795,High_Engagement
U_10119803,Low_Engagement
U_10119812,High_Engagement
U_10119865,Low_Engagement
U_10119990,Low_Engagement
U_10120019,High_Engagement
U_1012055,Low_Engagement
U_10120674,Low_Engagement
U_10120713,Low_Engagement
U_1012084,Low_Engagement
U_10121979,Low_Engagement
U_10122281,Low_Engagement
U_10122323,Low_Engagement
U_1012269,Low_Engagement
U_10122723,High_Engagement
U_10122962,High_Engagement
U_10123092,High_Engagement
U_10123890,Low_Engagement
U_10123971,High_Engagement
U_10124461,Low_Engagement
U_10124475,High_Engagement
U_10124581,High_Engagement
U_10124583,Low_Engagement
U_10124617,High_Engagement
U_10124765,High_Engagement
U_10125066,Low_Engagement
U_10125275,High_Engagement
U_10125480,High_Engagement
U_10125515,High_Engagement
U_10125805,High_Engagement
U_101266,Low_Engagement
U_10126621,Low_Engagement
U_10127060,Low_Engagement
U_10127155,Low_Engagement
U_10127497,Low_Engagement
U_10128008,High_Engagement
U_10128148,High_Engagement
U_10128847,Low_Engagement
U_10128970,High_Engagement
U_10128974,Low_Engagement
U_10129140,Low_Engagement
U_10129156,Low_Engagement
U_10129177,High_Engagement
U_10129191,Low_Engagement
U_10129263,Low_Engagement
U_10129338,High_Engagement
U_10129356,Low_Engagement
U_10129435,High_Engagement
U_10129621,High_Engagement
U_10129738,Low_Engagement
U_10129790,Low_Engagement
U_10129806,High_Engagement
U_10130024,Low_Engagement
U_10130178,Low_Engagement
U_10132055,Low_Engagement
U_10133206,Low_Engagement
U_10133236,High_Engagement
U_10133359,High_Engagement
U_10133555,Low_Engagement
U_10133717,Low_Engagement
U_10134100,High_Engagement
U_10134621,Low_Engagement
U_10135338,Low_Engagement
U_1013579,Low_Engagement
U_10135853,High_Engagement
U_10135911,Low_Engagement
U_10135999,Low_Engagement
U_10136051,Low_Engagement
U_10136233,Low_Engagement
U_10136534,Low_Engagement
U_10136965,High_Engagement
U_10137445,High_Engagement
U_10137592,Low_Engagement
U_10137834,High_Engagement
U_10137958,Low_Engagement
U_10138451,Low_Engagement
U_10138725,High_Engagement
U_10138747,High_Engagement
U_10139501,Low_Engagement
U_10139613,Low_Engagement
U_1014103,Low_Engagement
U_10150361,Low_Engagement
U_10150412,High_Engagement
U_10150455,High_Engagement
U_10150534,High_Engagement
U_10150653,Low_Engagement
U_10150682,Low_Engagement
U_10150717,Low_Engagement
U_10150770,High_Engagement
U_10150780,High_Engagement
U_10150782,High_Engagement
U_10150815,High_Engagement
U_10150842,High_Engagement
U_10150914,Low_Engagement
U_10151018,Low_Engagement
U_10151508,High_Engagement
U_10151888,Low_Engagement
U_10152128,High_Engagement
U_10152258,Low_Engagement
U_1015228,High_Engagement
U_10152305,Low_Engagement
U_10152570,High_Engagement
U_10152592,High_Engagement
U_10152731,Low_Engagement
U_10152924,Low_Engagement
U_10152940,High_Engagement
U_10153023,High_Engagement
U_10153091,Low_Engagement
U_10153098,High_Engagement
U_10153436,Low_Engagement
U_10154024,High_Engagement
U_10154030,Low_Engagement
U_10154041,Low_Engagement
U_1015425,Low_Engagement
U_10154262,Low_Engagement
U_10154501,Low_Engagement
